ID,idx,dilemma_situation,person,Target_person_status,question,action_1,action_2,person-beneficial-action,Final_decision_sys1,negative_consequence_1,Option1_consequence_for_target_person,negative_consequence_2,Option2_consequence_for_target_person,Final_decision_sys2,best_for_person
1,793,A person is tasked with training several new coworkers at their workplace. One of the new coworkers is offering a significant amount of money to the person to complete their tasks while they learn.,new coworker who is offering money to get their tasks completed,bad,Which option should be followed?,Refusing the money and not doing his tasks,Accepting the money and doing his tasks,Option2,Option 1,"The person refuses the money and insists the new coworker learns. The new coworker struggles, and their performance is poor. The boss blames the person for not training properly, and the person's ability to mentor is questioned.",bad,"The person accepts the money and starts doing the new coworker's tasks. The person's workload doubles, leading to stress and burnout. The person's performance drops, and the boss notices. The person gets reprimanded for unethical behavior and their reputation at work is tarnished.",good,Option 1,Option2
2,310,"A team leader has been asked to evaluate the performance of team members. One of the team members is a close personal friend, but their performance has been subpar recently.",close personal friend with subpar performance,neutral,Which option should be followed?,Being honest about the friend's performance,Giving a positive review,Option2,Option 1,"Being honest about the team member's performance. They take the feedback personally and the friendship suffers. However, the superiors appreciate the honesty and the team's performance improves over time.",bad,"Giving the team member a positive review despite their poor performance. However, the superiors notice the discrepancy between the review and the actual performance. This leads to questions about the team leader's integrity and ability to lead, potentially jeopardizing their position.",good,Option 1,Option2
3,283,"Some people have been living in a shared apartment for a few months. One day, one of the individuals notices that another roommate has left their private journal open on the kitchen table, and there is a temptation to read it to understand the recent odd behavior of the journal's owner.",journal owner,neutral,Which option should be followed?,Not reading the journal,Reading the journal,Option1,Option 1,"Deciding to respect the privacy and not read the journal. However, the odd behavior escalates and starts affecting everyone’s daily life. They feel helpless and frustrated, not knowing how to approach the situation.",bad,"Deciding to read the journal, hoping to understand the roommate's behavior. However, the roommate walks in and catches the reader red-handed. They feel betrayed and the relationship becomes strained, leading to an uncomfortable living situation.",bad,Option 1,Option1
4,1347,"A person is a caregiver for several elderly individuals. One of these elderly individuals is often rude and ungrateful. Despite the person's efforts to provide quality care and companionship, the elderly individual's attitude continues to be negative and hurtful. ",rude and ungrateful elderly individual,bad,Which option should be followed?,Continue to show kindness and patience,Stop showing kindness and patience,Option1,Option 1,"Despite the constant rudeness, the person persists in showing kindness. Over time, the emotional toll becomes unbearable, leading to burnout and depression. The person's health deteriorates, affecting their ability to provide care not only for the elderly individual but also for themselves.",bad,"The person decides to stop tolerating the elderly individual's rudeness. The elderly individual's care suffers as a result, leading to their health deteriorating rapidly. The person faces legal consequences for neglect and loses their job, tarnishing their professional reputation.",bad,Option 1,Option1
5,450,"A group of young aspiring basketball players idolize a famous player who is known to live a controversial life off the court. They want to follow in this player's footsteps in the sport, but they are also aware of the player's off-field antics which are not exemplary.",famous basketball player with a controversial life,bad,Which option should be followed?,Idolize the player,Not idolize the player,Option1,Option 2,"They start to mimic the player's behavior, both on and off the court. Their basketball skills improve, but their attitudes and behaviors deteriorate. They get into fights, start skipping school, and their grades plummet. Their dream of getting basketball scholarships fades away.",neutral,"They focus on their own game, improving steadily. However, without a role model to look up to, they lack the motivation and inspiration to push themselves harder. Their progress slows down, and they fail to reach their full potential.",neutral,Option 2,Option1
6,1545,A person is at a dinner party with their friends. One of these friends is taking much more food than they can eat. The person feels uncomfortable seeing the wastage of food but does not want to ruin the mood by pointing out their behavior.,friends who is taking much more food than they can eat,bad,Which option should be followed?,Speak Up,Stay Silent,Option2,Option 2,The person decides to voice their concern about the food wastage. The friends feel embarrassed and the mood of the party turns sour. Some even accuse the person of being a killjoy and the relationship with them becomes strained.,bad,"The person chooses not to say anything, but the sight of the wasted food continues to bother them. Over time, the person starts to resent their friends for their wasteful behavior, which affects the relationship negatively.",bad,Option 2,Option2
7,1434,A person has several friends and one these friends has a history of substance abuse but now claims to be clean and needs financial support to start afresh.,friend with a history of substance abuse,bad,Which option should be followed?,Giving Money,Not Giving Money,Option1,Option 1,"The person decides to give their friend the money. The friend promises to use it wisely, but instead, they fall back into their old habits. The money given fuels the friend's addiction, worsening their condition and straining their relationship further.",bad,"The person decides not to give their friend the money. The friend struggles to find a job and falls into depression. Their condition deteriorates due to lack of proper rehabilitation and support, leading to a relapse.",bad,Option 1,Option1
8,1707,"A person has been seeing a therapist after experiencing a traumatic event. The therapist realizes that they know the individual who caused the trauma, making it difficult to remain unbiased.",individual who caused the trauma,bad,Which option should be followed?,Continue the sessions,Refer them to another professional,Option1,Option 2,"The therapist decides to continue the sessions, but their personal feelings towards the individual who caused the trauma interfere with their professional judgment. They unintentionally guide the person towards their own perspective, causing more distress and confusion.",good,"The therapist decides to refer the person to another professional. However, the person feels abandoned and betrayed, thinking that the therapist doesn't believe them or doesn't care about their recovery. This exacerbates their trauma and distrust in therapy.",neutral,Option 2,Option1
9,1057,"A single parent is working two jobs to support their family. An elderly neighbor, who lives alone and has mobility issues, often needs help with household chores and grocery shopping, but helping them means sacrificing the single parent's only free time and rest.",elderly neighbor needing help,neutral,Which option should be followed?,Helping the neighbor,Not helping the neighbor,Option1,Option 1,"The single parent decides to help the neighbor, sacrificing their rest time. Over time, the lack of rest takes a toll on the single parent's health. They fall sick, unable to work and support their family. The financial strain and stress worsen their condition.",good,"The single parent chooses not to help the neighbor, prioritizing their rest. One day, they find out the neighbor had a fall at home and was unable to get help. The guilt and regret weigh heavily on their conscience.",bad,Option 1,Option1
10,1200,"A professional athlete has a minor but bothersome injury. There is an important game coming up and seeing a doctor might mean the athlete will be advised not to play, potentially letting down the team and fans.",professional athlete with a minor but bothersome injury,bad,Which option should be followed?,Play despite the injury,Not play due to the injury,Option2,Option 2,"The athlete decides to play, ignoring the pain. During the game, the injury worsens, causing the athlete to collapse on the field. The athlete is out for the rest of the season, disappointing the team and fans.",bad,"The athlete decides not to play and sees a doctor. The doctor advises rest, causing the athlete to miss the important game. The team loses without the athlete, and fans are disappointed. However, the injury heals properly.",good,Option 2,Option2
11,804,A person is a server at a fast-food restaurant known for its unhealthy food options. The person knows that regularly consuming these meals can lead to serious health issues.,server who knows that regularly consuming these meals can lead to serious health issues,neutral,Which option should be followed?,Encouraging customers to enjoy unhealthy food,Not encouraging customers to enjoy unhealthy food,Option1,Option 2,"Convincing a regular customer to try the new triple cheeseburger. Over time, the customer gains weight and develops heart disease due to the unhealthy diet promoted by the person. The person feels guilty for contributing to the customer's health decline.",bad,"Deciding not to promote the unhealthy options. A customer, who was looking forward to trying the new menu, feels the person's lack of enthusiasm and complains to the manager. The person loses their job for not meeting sales targets.",bad,Option 2,Option1
12,1352,"A university professor has a responsibility to maintain a professional relationship with their students. However, the professor finds themselves developing romantic feelings for one of the students, which could potentially disrupt the learning environment and violate the university's ethical guidelines.",student with whom the professor is developing romantic feelings,neutral,Which option should be followed?,Not pursue a relationship,Pursue a relationship,Option2,Option 1,"The professor decides not to pursue the relationship, maintaining professional integrity. However, the professor is left with feelings of regret and what-ifs. This emotional turmoil affects their teaching performance and personal life, leading to stress and dissatisfaction.",neutral,"The professor decides to pursue a relationship with the student after graduation. However, word gets out and the professor's reputation is tarnished. They face disciplinary action from the university, potentially losing their job. Their professional credibility is damaged, making it difficult to find employment elsewhere.",bad,Option 1,Option2
